"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"5160","31/12/2019",31,12,2019,0,0,"France","FR","FRA",66987244,"Europe",2019.99726027397
"5159","01/01/2020",1,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020
"5158","02/01/2020",2,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.00273224044
"5157","03/01/2020",3,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.00546448087
"5156","04/01/2020",4,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.00819672131
"5155","05/01/2020",5,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.01092896175
"5154","06/01/2020",6,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.01366120219
"5153","07/01/2020",7,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.01639344262
"5152","08/01/2020",8,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.01912568306
"5151","09/01/2020",9,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.0218579235
"5150","10/01/2020",10,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.02459016393
"5149","11/01/2020",11,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.02732240437
"5148","12/01/2020",12,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.03005464481
"5147","13/01/2020",13,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.03278688525
"5146","14/01/2020",14,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.03551912568
"5145","15/01/2020",15,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.03825136612
"5144","16/01/2020",16,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.04098360656
"5143","17/01/2020",17,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.04371584699
"5142","18/01/2020",18,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.04644808743
"5141","19/01/2020",19,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.04918032787
"5140","20/01/2020",20,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.05191256831
"5139","21/01/2020",21,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.05464480874
"5138","22/01/2020",22,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.05737704918
"5137","23/01/2020",23,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.06010928962
"5136","24/01/2020",24,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.06284153005
"5135","25/01/2020",25,1,2020,3,0,"France","FR","FRA",66987244,"Europe",2020.06557377049
"5134","26/01/2020",26,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.06830601093
"5133","27/01/2020",27,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.07103825137
"5132","28/01/2020",28,1,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.0737704918
"5131","29/01/2020",29,1,2020,1,0,"France","FR","FRA",66987244,"Europe",2020.07650273224
"5130","30/01/2020",30,1,2020,1,0,"France","FR","FRA",66987244,"Europe",2020.07923497268
"5129","31/01/2020",31,1,2020,1,0,"France","FR","FRA",66987244,"Europe",2020.08196721311
"5128","01/02/2020",1,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.08469945355
"5127","02/02/2020",2,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.08743169399
"5126","03/02/2020",3,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.09016393443
"5125","04/02/2020",4,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.09289617486
"5124","05/02/2020",5,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.0956284153
"5123","06/02/2020",6,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.09836065574
"5122","07/02/2020",7,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.10109289617
"5121","08/02/2020",8,2,2020,5,0,"France","FR","FRA",66987244,"Europe",2020.10382513661
"5120","09/02/2020",9,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.10655737705
"5119","10/02/2020",10,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.10928961749
"5118","11/02/2020",11,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.11202185792
"5117","12/02/2020",12,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.11475409836
"5116","13/02/2020",13,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.1174863388
"5115","14/02/2020",14,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.12021857923
"5114","15/02/2020",15,2,2020,0,1,"France","FR","FRA",66987244,"Europe",2020.12295081967
"5113","16/02/2020",16,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.12568306011
"5112","17/02/2020",17,2,2020,1,0,"France","FR","FRA",66987244,"Europe",2020.12841530055
"5111","18/02/2020",18,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.13114754098
"5110","19/02/2020",19,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.13387978142
