"DateRep","Cases","Deaths","Countries.and.territories"
"30/12/2019",0,0,"France_DC"
"31/12/2019",0,0,"France_DC"
"01/01/2020",0,0,"France_DC"
"02/01/2020",0,0,"France_DC"
"03/01/2020",0,0,"France_DC"
"04/01/2020",0,0,"France_DC"
"05/01/2020",0,0,"France_DC"
"06/01/2020",0,0,"France_DC"
"07/01/2020",0,0,"France_DC"
"08/01/2020",0,0,"France_DC"
"09/01/2020",0,0,"France_DC"
"10/01/2020",0,0,"France_DC"
"11/01/2020",0,0,"France_DC"
"12/01/2020",0,0,"France_DC"
"13/01/2020",0,0,"France_DC"
"14/01/2020",0,0,"France_DC"
"15/01/2020",0,0,"France_DC"
"16/01/2020",0,0,"France_DC"
"17/01/2020",0,0,"France_DC"
"18/01/2020",0,0,"France_DC"
"19/01/2020",0,0,"France_DC"
"20/01/2020",0,0,"France_DC"
"21/01/2020",0,0,"France_DC"
"22/01/2020",0,0,"France_DC"
"23/01/2020",0,0,"France_DC"
"24/01/2020",3,0,"France_DC"
"25/01/2020",0,0,"France_DC"
"26/01/2020",0,0,"France_DC"
"27/01/2020",0,0,"France_DC"
"28/01/2020",1,0,"France_DC"
"29/01/2020",1,0,"France_DC"
"30/01/2020",1,0,"France_DC"
"31/01/2020",0,0,"France_DC"
"01/02/2020",0,0,"France_DC"
"02/02/2020",0,0,"France_DC"
"03/02/2020",0,0,"France_DC"
"04/02/2020",0,0,"France_DC"
"05/02/2020",0,0,"France_DC"
"06/02/2020",0,0,"France_DC"
"07/02/2020",5,0,"France_DC"
"08/02/2020",0,0,"France_DC"
"09/02/2020",0,0,"France_DC"
"10/02/2020",0,0,"France_DC"
"11/02/2020",0,0,"France_DC"
"12/02/2020",0,0,"France_DC"
"13/02/2020",0,0,"France_DC"
"14/02/2020",0,1,"France_DC"
"15/02/2020",0,0,"France_DC"
"16/02/2020",1,0,"France_DC"
"17/02/2020",0,0,"France_DC"
"18/02/2020",0,0,"France_DC"
"19/02/2020",0,0,"France_DC"
"20/02/2020",0,0,"France_DC"
"21/02/2020",0,0,"France_DC"
"22/02/2020",0,0,"France_DC"
"23/02/2020",0,0,"France_DC"
"24/02/2020",0,0,"France_DC"
"25/02/2020",2,0,"France_DC"
"26/02/2020",3,1,"France_DC"
"27/02/2020",21,0,"France_DC"
"28/02/2020",19,0,"France_DC"
"29/02/2020",43,0,"France_DC"
"01/03/2020",30,0,"France_DC"
"02/03/2020",48,1,"France_DC"
"03/03/2020",34,1,"France_DC"
"04/03/2020",73,0,"France_DC"
"05/03/2020",138,3,"France_DC"
"06/03/2020",190,2,"France_DC"
"07/03/2020",103,1,"France_DC"
"08/03/2020",410,9,"France_DC"
"09/03/2020",286,11,"France_DC"
"10/03/2020",372,3,"France_DC"
"11/03/2020",497,15,"France_DC"
"12/03/2020",595,13,"France_DC"
"13/03/2020",785,18,"France_DC"
"14/03/2020",838,12,"France_DC"
"15/03/2020",924,36,"France_DC"
"16/03/2020",1210,21,"France_DC"
"17/03/2020",1097,27,"France_DC"
"18/03/2020",1404,69,"France_DC"
"19/03/2020",1861,128,"France_DC"
"20/03/2020",1617,78,"France_DC"
"21/03/2020",1847,112,"France_DC"
"22/03/2020",2230,112,"France_DC"
"23/03/2020",3167,186,"France_DC"
"24/03/2020",2446,240,"France_DC"
"25/03/2020",2931,288,"France_DC"
"26/03/2020",3922,307,"France_DC"
"27/03/2020",3809,299,"France_DC"
"28/03/2020",4611,320,"France_DC"
"29/03/2020",2599,292,"France_DC"
"30/03/2020",4376,418,"France_DC"
"31/03/2020",7578,499,"France_DC"
"01/04/2020",4861,509,"France_DC"
"02/04/2020",2116,471,"France_DC"
"03/04/2020",5233,588,"France_DC"
"04/04/2020",4267,441,"France_DC"
"05/04/2020",1873,357,"France_DC"
"06/04/2020",3912,605,"France_DC"
"07/04/2020",3777,597,"France_DC"
"08/04/2020",3881,541,"France_DC"
"09/04/2020",4286,412,"France_DC"
"10/04/2020",4342,554,"France_DC"
"11/04/2020",3114,345,"France_DC"
"12/04/2020",1613,310,"France_DC"
"13/04/2020",2673,335,"France_DC"
"14/04/2020",5497,541,"France_DC"
"15/04/2020",2633,514,"France_DC"
"16/04/2020",2641,417,"France_DC"
"17/04/2020",405,418,"France_DC"
"18/04/2020",2569,364,"France_DC"
"19/04/2020",785,227,"France_DC"
"20/04/2020",2051,444,"France_DC"
"21/04/2020",2667,387,"France_DC"
"22/04/2020",1827,336,"France_DC"
"23/04/2020",1653,311,"France_DC"
"24/04/2020",1773,305,"France_DC"
"25/04/2020",1537,198,"France_DC"
"26/04/2020",461,152,"France_DC"
"27/04/2020",3764,295,"France_DC"
"28/04/2020",1520,191,"France_DC"
"29/04/2020",1417,365,"France_DC"
"30/04/2020",1139,191,"France_DC"
"01/05/2020",604,125,"France_DC"
"02/05/2020",794,118,"France_DC"
"03/05/2020",308,96,"France_DC"
"04/05/2020",576,243,"France_DC"
"05/05/2020",1104,234,"France_DC"
"06/05/2020",4183,177,"France_DC"
"07/05/2020",629,149,"France_DC"
"08/05/2020",642,111,"France_DC"
"09/05/2020",433,76,"France_DC"
"10/05/2020",209,69,"France_DC"
"11/05/2020",456,178,"France_DC"
"12/05/2020",708,183,"France_DC"
"13/05/2020",507,98,"France_DC"
"14/05/2020",622,123,"France_DC"
"15/05/2020",563,118,"France_DC"
"16/05/2020",372,70,"France_DC"
"17/05/2020",120,54,"France_DC"
"18/05/2020",492,123,"France_DC"
"19/05/2020",524,125,"France_DC"
"20/05/2020",418,98,"France_DC"
"21/05/2020",318,58,"France_DC"
"22/05/2020",393,74,"France_DC"
"23/05/2020",250,43,"France_DC"
"24/05/2020",115,35,"France_DC"
"25/05/2020",358,90,"France_DC"
"26/05/2020",276,83,"France_DC"
"27/05/2020",191,65,"France_DC"
"28/05/2020",3325,66,"France_DC"
"29/05/2020",597,61,"France_DC"
"30/05/2020",1828,57,"France_DC"
"31/05/2020",257,31,"France_DC"
"01/06/2020",338,31,"France_DC"
"02/06/2020",766,84,"France_DC"
"03/06/2020",352,81,"France_DC"
"04/06/2020",767,44,"France_DC"
"05/06/2020",611,46,"France_DC"
"06/06/2020",579,31,"France_DC"
"07/06/2020",343,13,"France_DC"
"08/06/2020",211,54,"France_DC"
"09/06/2020",403,53,"France_DC"
"10/06/2020",545,23,"France_DC"
"11/06/2020",425,27,"France_DC"
"12/06/2020",726,28,"France_DC"
"13/06/2020",526,24,"France_DC"
"14/06/2020",407,9,"France_DC"
"15/06/2020",152,29,"France_DC"
"16/06/2020",344,38,"France_DC"
"17/06/2020",458,28,"France_DC"
"18/06/2020",467,28,"France_DC"
"19/06/2020",811,14,"France_DC"
"20/06/2020",641,16,"France_DC"
"21/06/2020",284,7,"France_DC"
"22/06/2020",373,23,"France_DC"
"23/06/2020",517,26,"France_DC"
"24/06/2020",81,11,"France_DC"
"25/06/2020",0,21,"France_DC"
"26/06/2020",1588,26,"France_DC"
"27/06/2020",518,15,"France_DC"
"28/06/2020",526,2,"France_DC"
"29/06/2020",280,18,"France_DC"
"30/06/2020",541,21,"France_DC"
"01/07/2020",918,18,"France_DC"
"02/07/2020",659,14,"France_DC"
"03/07/2020",582,18,"France_DC"
"04/07/2020",751,12,"France_DC"
"05/07/2020",448,2,"France_DC"
"06/07/2020",176,13,"France_DC"
"07/07/2020",475,34,"France_DC"
"08/07/2020",663,32,"France_DC"
"09/07/2020",621,14,"France_DC"
"10/07/2020",658,25,"France_DC"
"11/07/2020",752,6,"France_DC"
"12/07/2020",585,1,"France_DC"
"13/07/2020",288,18,"France_DC"
"14/07/2020",511,6,"France_DC"
"15/07/2020",416,20,"France_DC"
"16/07/2020",534,18,"France_DC"
"17/07/2020",836,14,"France_DC"
"18/07/2020",965,8,"France_DC"
"19/07/2020",765,1,"France_DC"
"20/07/2020",350,15,"France_DC"
"21/07/2020",584,14,"France_DC"
"22/07/2020",998,7,"France_DC"
"23/07/2020",1062,10,"France_DC"
"24/07/2020",1130,10,"France_DC"
"25/07/2020",0,8,"France_DC"
"26/07/2020",0,1,"France_DC"
"27/07/2020",2551,8,"France_DC"
"28/07/2020",725,15,"France_DC"
"29/07/2020",1392,15,"France_DC"
"30/07/2020",1377,16,"France_DC"
"31/07/2020",1346,11,"France_DC"
"01/08/2020",1628,6,"France_DC"
"02/08/2020",1192,1,"France_DC"
"03/08/2020",556,22,"France_DC"
"04/08/2020",1039,11,"France_DC"
"05/08/2020",1695,9,"France_DC"
"06/08/2020",1604,7,"France_DC"
"07/08/2020",2288,12,"France_DC"
"08/08/2020",2184,2,"France_DC"
"09/08/2020",1885,0,"France_DC"
"10/08/2020",785,14,"France_DC"
"11/08/2020",1397,15,"France_DC"
"12/08/2020",2524,17,"France_DC"
"13/08/2020",2669,17,"France_DC"
"14/08/2020",2846,18,"France_DC"
"15/08/2020",3310,3,"France_DC"
"16/08/2020",3015,1,"France_DC"
"17/08/2020",493,19,"France_DC"
"18/08/2020",2238,16,"France_DC"
"19/08/2020",3776,17,"France_DC"
"20/08/2020",4771,12,"France_DC"
"21/08/2020",4586,23,"France_DC"
"22/08/2020",3602,9,"France_DC"
"23/08/2020",4897,1,"France_DC"
"24/08/2020",1955,15,"France_DC"
"25/08/2020",3304,21,"France_DC"
"26/08/2020",5429,18,"France_DC"
"27/08/2020",6111,14,"France_DC"
"28/08/2020",7379,19,"France_DC"
"29/08/2020",5453,6,"France_DC"
"30/08/2020",5413,4,"France_DC"
"31/08/2020",3082,29,"France_DC"
"01/09/2020",4982,19,"France_DC"
"02/09/2020",7017,25,"France_DC"
"03/09/2020",7157,20,"France_DC"
"04/09/2020",8975,18,"France_DC"
"05/09/2020",8550,12,"France_DC"
"06/09/2020",7071,3,"France_DC"
"07/09/2020",4203,25,"France_DC"
"08/09/2020",6544,39,"France_DC"
"09/09/2020",8577,30,"France_DC"
"10/09/2020",9843,19,"France_DC"
"11/09/2020",9406,40,"France_DC"
"12/09/2020",10561,17,"France_DC"
"13/09/2020",7183,6,"France_DC"
"14/09/2020",6158,34,"France_DC"
"15/09/2020",7852,36,"France_DC"
"16/09/2020",9784,46,"France_DC"
"17/09/2020",10593,50,"France_DC"
"18/09/2020",13215,122,"France_DC"
"19/09/2020",13498,25,"France_DC"
"20/09/2020",10569,11,"France_DC"
"21/09/2020",5298,53,"France_DC"
"22/09/2020",10008,67,"France_DC"
"23/09/2020",13072,43,"France_DC"
"24/09/2020",16096,52,"France_DC"
"25/09/2020",15797,55,"France_DC"
"26/09/2020",14412,39,"France_DC"
"27/09/2020",11123,27,"France_DC"
"28/09/2020",4070,81,"France_DC"
"29/09/2020",8051,59,"France_DC"
"30/09/2020",12845,63,"France_DC"
"01/10/2020",13970,63,"France_DC"
"02/10/2020",12148,47,"France_DC"
"03/10/2020",16972,43,"France_DC"
"04/10/2020",12565,32,"France_DC"
"05/10/2020",5084,69,"France_DC"
"06/10/2020",10489,62,"France_DC"
"07/10/2020",18746,80,"France_DC"
"08/10/2020",18129,76,"France_DC"
"09/10/2020",20339,62,"France_DC"
"10/10/2020",26896,54,"France_DC"
"11/10/2020",16101,46,"France_DC"
"12/10/2020",8505,95,"France_DC"
"13/10/2020",12993,84,"France_DC"
"14/10/2020",22591,104,"France_DC"
"15/10/2020",30621,88,"France_DC"
"16/10/2020",25086,122,"France_DC"
"17/10/2020",32427,89,"France_DC"
"18/10/2020",29837,85,"France_DC"
"19/10/2020",13243,146,"France_DC"
"20/10/2020",20468,162,"France_DC"
"21/10/2020",26676,163,"France_DC"
"22/10/2020",41622,162,"France_DC"
"23/10/2020",42032,184,"France_DC"
"24/10/2020",45422,137,"France_DC"
"25/10/2020",52010,116,"France_DC"
"26/10/2020",26771,257,"France_DC"
"27/10/2020",33417,288,"France_DC"
"28/10/2020",36437,244,"France_DC"
"29/10/2020",47637,235,"France_DC"
"30/10/2020",49215,255,"France_DC"
"31/10/2020",35641,223,"France_DC"
"01/11/2020",46290,231,"France_DC"
"02/11/2020",52518,416,"France_DC"
"03/11/2020",36330,426,"France_DC"
"04/11/2020",40558,385,"France_DC"
"05/11/2020",58046,363,"France_DC"
"06/11/2020",60486,398,"France_DC"
"07/11/2020",86852,304,"France_DC"
"08/11/2020",38619,270,"France_DC"
"09/11/2020",20155,548,"France_DC"
"10/11/2020",22180,466,"France_DC"
"11/11/2020",35879,328,"France_DC"
"12/11/2020",33172,420,"France_DC"
"13/11/2020",23794,461,"France_DC"
"14/11/2020",32095,354,"France_DC"
"15/11/2020",27228,302,"France_DC"
"16/11/2020",9406,506,"France_DC"
"17/11/2020",45522,428,"France_DC"
"18/11/2020",28383,425,"France_DC"
"19/11/2020",21150,429,"France_DC"
