"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"5566","31/12/2019",31,12,2019,0,0,"Germany","DE","DEU",82927922,"Europe",2019.99726027397
"5565","01/01/2020",1,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020
"5564","02/01/2020",2,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.00273224044
"5563","03/01/2020",3,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.00546448087
"5562","04/01/2020",4,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.00819672131
"5561","05/01/2020",5,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.01092896175
"5560","06/01/2020",6,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.01366120219
"5559","07/01/2020",7,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.01639344262
"5558","08/01/2020",8,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.01912568306
"5557","09/01/2020",9,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.0218579235
"5556","10/01/2020",10,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.02459016393
"5555","11/01/2020",11,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.02732240437
"5554","12/01/2020",12,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.03005464481
"5553","13/01/2020",13,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.03278688525
"5552","14/01/2020",14,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.03551912568
"5551","15/01/2020",15,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.03825136612
"5550","16/01/2020",16,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.04098360656
"5549","17/01/2020",17,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.04371584699
"5548","18/01/2020",18,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.04644808743
"5547","19/01/2020",19,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.04918032787
"5546","20/01/2020",20,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.05191256831
"5545","21/01/2020",21,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.05464480874
"5544","22/01/2020",22,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.05737704918
"5543","23/01/2020",23,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.06010928962
"5542","24/01/2020",24,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.06284153005
"5541","25/01/2020",25,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.06557377049
"5540","26/01/2020",26,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.06830601093
"5539","27/01/2020",27,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.07103825137
"5538","28/01/2020",28,1,2020,1,0,"Germany","DE","DEU",82927922,"Europe",2020.0737704918
"5537","29/01/2020",29,1,2020,3,0,"Germany","DE","DEU",82927922,"Europe",2020.07650273224
"5536","30/01/2020",30,1,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.07923497268
"5535","31/01/2020",31,1,2020,1,0,"Germany","DE","DEU",82927922,"Europe",2020.08196721311
"5534","01/02/2020",1,2,2020,2,0,"Germany","DE","DEU",82927922,"Europe",2020.08469945355
"5533","02/02/2020",2,2,2020,1,0,"Germany","DE","DEU",82927922,"Europe",2020.08743169399
"5532","03/02/2020",3,2,2020,1,0,"Germany","DE","DEU",82927922,"Europe",2020.09016393443
"5531","04/02/2020",4,2,2020,2,0,"Germany","DE","DEU",82927922,"Europe",2020.09289617486
"5530","05/02/2020",5,2,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.0956284153
"5529","06/02/2020",6,2,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.09836065574
"5528","07/02/2020",7,2,2020,1,0,"Germany","DE","DEU",82927922,"Europe",2020.10109289617
