"X1","Date","Illness cases","Deaths","DateRep","DeathsSum","Cases","Countries.and.territories"
168,"July 10",199202,7,"10/07/2020",9061,434,"Germany_2nd"
169,"July 11",199709,7,"11/07/2020",9068,507,"Germany_2nd"
170,"July 12",199919,4,"12/07/2020",9072,210,"Germany_2nd"
171,"July 13",200440,5,"13/07/2020",9077,521,"Germany_2nd"
172,"July 14",200456,1,"14/07/2020",9078,16,"Germany_2nd"
173,"July 15",201288,8,"15/07/2020",9086,832,"Germany_2nd"
174,"July 16",201945,3,"16/07/2020",9089,657,"Germany_2nd"
175,"July 17",202045,1,"17/07/2020",9090,100,"Germany_2nd"
176,"July 18",202426,2,"18/07/2020",9092,381,"Germany_2nd"
177,"July 19",202735,1,"19/07/2020",9093,309,"Germany_2nd"
178,"July 20",203495,5,"20/07/2020",9098,760,"Germany_2nd"
179,"July 21",203717,2,"21/07/2020",9100,222,"Germany_2nd"
180,"July 22",204276,2,"22/07/2020",9102,559,"Germany_2nd"
181,"July 23",204881,6,"23/07/2020",9108,605,"Germany_2nd"
182,"July 24",205623,8,"24/07/2020",9116,742,"Germany_2nd"
183,"July 25",206278,2,"25/07/2020",9118,655,"Germany_2nd"
184,"July 26",206667,3,"26/07/2020",9121,389,"Germany_2nd"
185,"July 27",207112,3,"27/07/2020",9124,445,"Germany_2nd"
186,"July 28",207707,3,"28/07/2020",9127,595,"Germany_2nd"
187,"July 29",208546,6,"29/07/2020",9133,839,"Germany_2nd"
188,"July 30",209535,5,"30/07/2020",9138,989,"Germany_2nd"
189,"July 31",210399,9,"31/07/2020",9147,864,"Germany_2nd"
190,"Aug 1",211005,2,"01/08/2020",9149,606,"Germany_2nd"
191,"Aug 2",211225,2,"02/08/2020",9151,220,"Germany_2nd"
192,"Aug 3",212111,3,"03/08/2020",9154,886,"Germany_2nd"
193,"Aug 4",212828,9,"04/08/2020",9163,717,"Germany_2nd"
194,"Aug 5",214113,16,"05/08/2020",9179,1285,"Germany_2nd"
195,"Aug 6",215039,2,"06/08/2020",9181,926,"Germany_2nd"
196,"Aug 7",216196,14,"07/08/2020",9195,1157,"Germany_2nd"
197,"Aug 8",216903,6,"08/08/2020",9201,707,"Germany_2nd"
198,"Aug 9",217288,1,"09/08/2020",9202,385,"Germany_2nd"
199,"Aug 10",218508,5,"10/08/2020",9207,1220,"Germany_2nd"
200,"Aug 11",219541,6,"11/08/2020",9213,1033,"Germany_2nd"
201,"Aug 12",220859,2,"12/08/2020",9215,1318,"Germany_2nd"
202,"Aug 13",222281,2,"13/08/2020",9217,1422,"Germany_2nd"
203,"Aug 14",223791,13,"14/08/2020",9230,1510,"Germany_2nd"
204,"Aug 15",224488,5,"15/08/2020",9235,697,"Germany_2nd"
205,"Aug 16",225007,0,"16/08/2020",9235,519,"Germany_2nd"
206,"Aug 17",226742,1,"17/08/2020",9236,1735,"Germany_2nd"
207,"Aug 18",228121,5,"18/08/2020",9241,1379,"Germany_2nd"
208,"Aug 19",229706,8,"19/08/2020",9249,1585,"Germany_2nd"
209,"Aug 20",231292,14,"20/08/2020",9263,1586,"Germany_2nd"
210,"Aug 21",233029,1,"21/08/2020",9264,1737,"Germany_2nd"
211,"Aug 22",233861,8,"22/08/2020",9272,832,"Germany_2nd"
212,"Aug 23",234494,4,"23/08/2020",9276,633,"Germany_2nd"
213,"Aug 24",236606,5,"24/08/2020",9281,2112,"Germany_2nd"
214,"Aug 25",237583,0,"25/08/2020",9281,977,"Germany_2nd"
