"","Date","Illness cases","Deaths","DateRep","DeathsSum","Cases","Countries.and.territories"
"1","Jan 25","0","0","25/01/2020","0","0","Germany_DC"
"2","Jan 26","0","0","26/01/2020","0","0","Germany_DC"
"3","Jan 27","0","0","27/01/2020","0","0","Germany_DC"
"4","Jan 28","1","0","28/01/2020","0","1","Germany_DC"
"5","Jan 29","4","0","29/01/2020","0","3","Germany_DC"
"6","Jan 30","4","0","30/01/2020","0","0","Germany_DC"
"7","Jan 31","6","0","31/01/2020","0","2","Germany_DC"
"8","Feb 1","7","0","01/02/2020","0","1","Germany_DC"
"9","Feb 2","10","0","02/02/2020","0","3","Germany_DC"
"10","Feb 3","10","0","03/02/2020","0","0","Germany_DC"
"11","Feb 4","12","0","04/02/2020","0","2","Germany_DC"
"12","Feb 5","12","0","05/02/2020","0","0","Germany_DC"
"13","Feb 6","13","0","06/02/2020","0","1","Germany_DC"
"14","Feb 7","13","0","07/02/2020","0","0","Germany_DC"
"15","Feb 8","14","0","08/02/2020","0","1","Germany_DC"
"16","Feb 9","14","0","09/02/2020","0","0","Germany_DC"
"17","Feb 10","14","0","10/02/2020","0","0","Germany_DC"
"18","Feb 11","14","0","11/02/2020","0","0","Germany_DC"
"19","Feb 12","16","0","12/02/2020","0","2","Germany_DC"
"20","Feb 13","16","0","13/02/2020","0","0","Germany_DC"
"21","Feb 14","16","0","14/02/2020","0","0","Germany_DC"
"22","Feb 15","16","0","15/02/2020","0","0","Germany_DC"
"23","Feb 16","16","0","16/02/2020","0","0","Germany_DC"
"24","Feb 17","16","0","17/02/2020","0","0","Germany_DC"
"25","Feb 18","16","0","18/02/2020","0","0","Germany_DC"
"26","Feb 19","16","0","19/02/2020","0","0","Germany_DC"
"27","Feb 20","16","0","20/02/2020","0","0","Germany_DC"
"28","Feb 21","16","0","21/02/2020","0","0","Germany_DC"
"29","Feb 22","16","0","22/02/2020","0","0","Germany_DC"
"30","Feb 23","16","0","23/02/2020","0","0","Germany_DC"
"31","Feb 24","16","0","24/02/2020","0","0","Germany_DC"
"32","Feb 25","16","0","25/02/2020","0","0","Germany_DC"
"33","Feb 26","18","0","26/02/2020","0","2","Germany_DC"
"34","Feb 27","21","0","27/02/2020","0","3","Germany_DC"
"35","Feb 28","46","0","28/02/2020","0","25","Germany_DC"
"36","Feb 29","57","0","29/02/2020","0","11","Germany_DC"
"37","Mar 1","57","0","01/03/2020","0","0","Germany_DC"
"38","Mar 2","150","0","02/03/2020","0","93","Germany_DC"
"39","Mar 3","188","0","03/03/2020","0","38","Germany_DC"
