"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"7457","31/12/2019",31,12,2019,0,0,"Italy","IT","ITA",60431283,"Europe",2019.99726027397
"7456","01/01/2020",1,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020
"7455","02/01/2020",2,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.00273224044
"7454","03/01/2020",3,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.00546448087
"7453","04/01/2020",4,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.00819672131
"7452","05/01/2020",5,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.01092896175
"7451","06/01/2020",6,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.01366120219
"7450","07/01/2020",7,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.01639344262
"7449","08/01/2020",8,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.01912568306
"7448","09/01/2020",9,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.0218579235
"7447","10/01/2020",10,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.02459016393
"7446","11/01/2020",11,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.02732240437
"7445","12/01/2020",12,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.03005464481
"7444","13/01/2020",13,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.03278688525
"7443","14/01/2020",14,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.03551912568
"7442","15/01/2020",15,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.03825136612
"7441","16/01/2020",16,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.04098360656
"7440","17/01/2020",17,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.04371584699
"7439","18/01/2020",18,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.04644808743
"7438","19/01/2020",19,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.04918032787
"7437","20/01/2020",20,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.05191256831
"7436","21/01/2020",21,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.05464480874
"7435","22/01/2020",22,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.05737704918
"7434","23/01/2020",23,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.06010928962
"7433","24/01/2020",24,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.06284153005
"7432","25/01/2020",25,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.06557377049
"7431","26/01/2020",26,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.06830601093
"7430","27/01/2020",27,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.07103825137
"7429","28/01/2020",28,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.0737704918
"7428","29/01/2020",29,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.07650273224
"7427","30/01/2020",30,1,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.07923497268
"7426","31/01/2020",31,1,2020,3,0,"Italy","IT","ITA",60431283,"Europe",2020.08196721311
"7425","01/02/2020",1,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.08469945355
"7424","02/02/2020",2,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.08743169399
"7423","03/02/2020",3,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.09016393443
"7422","04/02/2020",4,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.09289617486
"7421","05/02/2020",5,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.0956284153
"7420","06/02/2020",6,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.09836065574
"7419","07/02/2020",7,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.10109289617
"7418","08/02/2020",8,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.10382513661
"7417","09/02/2020",9,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.10655737705
"7416","10/02/2020",10,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.10928961749
"7415","11/02/2020",11,2,2020,0,0,"Italy","IT","ITA",60431283,"Europe",2020.11202185792
