"","X","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","t","daily.hospitalized","total.active","cases.testAb"
"1",10436,"31/12/2019",31,12,2019,0,0,"Rioja","RI","RIO",300000,2019.99726027397,0,0,0
"2",10435,"01/01/2020",1,1,2020,0,0,"Rioja","RI","RIO",300000,2020,0,0,0
"3",10434,"02/01/2020",2,1,2020,0,0,"Rioja","RI","RIO",300000,2020.00273224044,0,0,0
"4",10433,"03/01/2020",3,1,2020,0,0,"Rioja","RI","RIO",300000,2020.00546448087,0,0,0
"5",10432,"04/01/2020",4,1,2020,0,0,"Rioja","RI","RIO",300000,2020.00819672131,0,0,0
"6",10431,"05/01/2020",5,1,2020,0,0,"Rioja","RI","RIO",300000,2020.01092896175,0,0,0
"7",10430,"06/01/2020",6,1,2020,0,0,"Rioja","RI","RIO",300000,2020.01366120219,0,0,0
"8",10429,"07/01/2020",7,1,2020,0,0,"Rioja","RI","RIO",300000,2020.01639344262,0,0,0
"9",10428,"08/01/2020",8,1,2020,0,0,"Rioja","RI","RIO",300000,2020.01912568306,0,0,0
"10",10427,"09/01/2020",9,1,2020,0,0,"Rioja","RI","RIO",300000,2020.0218579235,0,0,0
"11",10426,"10/01/2020",10,1,2020,0,0,"Rioja","RI","RIO",300000,2020.02459016393,0,0,0
"12",10425,"11/01/2020",11,1,2020,0,0,"Rioja","RI","RIO",300000,2020.02732240437,0,0,0
"13",10424,"12/01/2020",12,1,2020,0,0,"Rioja","RI","RIO",300000,2020.03005464481,0,0,0
"14",10423,"13/01/2020",13,1,2020,0,0,"Rioja","RI","RIO",300000,2020.03278688525,0,0,0
"15",10422,"14/01/2020",14,1,2020,0,0,"Rioja","RI","RIO",300000,2020.03551912568,0,0,0
"16",10421,"15/01/2020",15,1,2020,0,0,"Rioja","RI","RIO",300000,2020.03825136612,0,0,0
"17",10420,"16/01/2020",16,1,2020,0,0,"Rioja","RI","RIO",300000,2020.04098360656,0,0,0
"18",10419,"17/01/2020",17,1,2020,0,0,"Rioja","RI","RIO",300000,2020.04371584699,0,0,0
"19",10418,"18/01/2020",18,1,2020,0,0,"Rioja","RI","RIO",300000,2020.04644808743,0,0,0
"20",10417,"19/01/2020",19,1,2020,0,0,"Rioja","RI","RIO",300000,2020.04918032787,0,0,0
"21",10416,"20/01/2020",20,1,2020,0,0,"Rioja","RI","RIO",300000,2020.05191256831,0,0,0
"22",10415,"21/01/2020",21,1,2020,0,0,"Rioja","RI","RIO",300000,2020.05464480874,0,0,0
"23",10414,"22/01/2020",22,1,2020,0,0,"Rioja","RI","RIO",300000,2020.05737704918,0,0,0
"24",10413,"23/01/2020",23,1,2020,0,0,"Rioja","RI","RIO",300000,2020.06010928962,0,0,0
"25",10412,"24/01/2020",24,1,2020,0,0,"Rioja","RI","RIO",300000,2020.06284153005,0,0,0
"26",10411,"25/01/2020",25,1,2020,0,0,"Rioja","RI","RIO",300000,2020.06557377049,0,0,0
"27",10410,"26/01/2020",26,1,2020,0,0,"Rioja","RI","RIO",300000,2020.06830601093,0,0,0
"28",10409,"27/01/2020",27,1,2020,0,0,"Rioja","RI","RIO",300000,2020.07103825137,0,0,0
"29",10408,"28/01/2020",28,1,2020,0,0,"Rioja","RI","RIO",300000,2020.0737704918,0,0,0
"30",10407,"29/01/2020",29,1,2020,0,0,"Rioja","RI","RIO",300000,2020.07650273224,0,0,0
"31",10406,"30/01/2020",30,1,2020,0,0,"Rioja","RI","RIO",300000,2020.07923497268,0,0,0
"32",10405,"31/01/2020",31,1,2020,0,0,"Rioja","RI","RIO",300000,2020.08196721311,0,0,0
"33",10404,"01/02/2020",1,2,2020,1,0,"Rioja","RI","RIO",300000,2020.08469945355,0,0,0
"34",10403,"02/02/2020",2,2,2020,0,0,"Rioja","RI","RIO",300000,2020.08743169399,0,0,0
"35",10402,"03/02/2020",3,2,2020,0,0,"Rioja","RI","RIO",300000,2020.09016393443,0,0,0
"36",10401,"04/02/2020",4,2,2020,0,0,"Rioja","RI","RIO",300000,2020.09289617486,0,0,0
"37",10400,"05/02/2020",5,2,2020,0,0,"Rioja","RI","RIO",300000,2020.0956284153,0,0,0
"38",10399,"06/02/2020",6,2,2020,0,0,"Rioja","RI","RIO",300000,2020.09836065574,0,0,0
"39",10398,"07/02/2020",7,2,2020,0,0,"Rioja","RI","RIO",300000,2020.10109289617,0,0,0
"40",10397,"08/02/2020",8,2,2020,0,0,"Rioja","RI","RIO",300000,2020.10382513661,0,0,0
"41",10396,"09/02/2020",9,2,2020,0,0,"Rioja","RI","RIO",300000,2020.10655737705,0,0,0
"42",10395,"10/02/2020",10,2,2020,1,0,"Rioja","RI","RIO",300000,2020.10928961749,0,0,0
"43",10394,"11/02/2020",11,2,2020,0,0,"Rioja","RI","RIO",300000,2020.11202185792,0,0,0
"44",10393,"12/02/2020",12,2,2020,0,0,"Rioja","RI","RIO",300000,2020.11475409836,0,0,0
"45",10392,"13/02/2020",13,2,2020,0,0,"Rioja","RI","RIO",300000,2020.1174863388,0,0,0
"46",10391,"14/02/2020",14,2,2020,0,0,"Rioja","RI","RIO",300000,2020.12021857923,0,0,0
"47",10390,"15/02/2020",15,2,2020,0,0,"Rioja","RI","RIO",300000,2020.12295081967,0,0,0
"48",10389,"16/02/2020",16,2,2020,0,0,"Rioja","RI","RIO",300000,2020.12568306011,0,0,0
"49",10388,"17/02/2020",17,2,2020,0,0,"Rioja","RI","RIO",300000,2020.12841530055,0,0,0
"50",10387,"18/02/2020",18,2,2020,0,0,"Rioja","RI","RIO",300000,2020.13114754098,0,0,0
"51",10386,"19/02/2020",19,2,2020,0,0,"Rioja","RI","RIO",300000,2020.13387978142,0,0,0
"52",10385,"20/02/2020",20,2,2020,0,0,"Rioja","RI","RIO",300000,2020.13661202186,0,0,0
"53",10384,"21/02/2020",21,2,2020,0,0,"Rioja","RI","RIO",300000,2020.1393442623,0,0,0
"54",10383,"22/02/2020",22,2,2020,0,0,"Rioja","RI","RIO",300000,2020.14207650273,0,0,0
"55",10382,"23/02/2020",23,2,2020,0,0,"Rioja","RI","RIO",300000,2020.14480874317,0,0,0
"56",10381,"24/02/2020",24,2,2020,0,0,"Rioja","RI","RIO",300000,2020.14754098361,0,0,0
"57",10380,"25/02/2020",25,2,2020,0,0,"Rioja","RI","RIO",300000,2020.15027322404,0,0,0
"58",10379,"26/02/2020",26,2,2020,0,0,"Rioja","RI","RIO",300000,2020.15300546448,0,0,0
"59",10378,"27/02/2020",27,2,2020,0,0,"Rioja","RI","RIO",300000,2020.15573770492,0,0,0
"60",10377,"28/02/2020",28,2,2020,0,0,"Rioja","RI","RIO",300000,2020.15846994536,0,0,0
"61",10376,"29/02/2020",29,2,2020,0,0,"Rioja","RI","RIO",300000,2020.16120218579,0,0,0
"62",10375,"01/03/2020",1,3,2020,0,0,"Rioja","RI","RIO",300000,2020.16393442623,0,0,0
"63",10374,"02/03/2020",2,3,2020,2,0,"Rioja","RI","RIO",300000,2020.16666666667,NA,2,0
"64",10373,"03/03/2020",3,3,2020,1,0,"Rioja","RI","RIO",300000,2020.1693989071,NA,3,0
