"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"13208","31/12/2019",31,12,2019,0,0,"Spain","ES","ESP",46723749,"Europe",2019.99726027397
"13207","01/01/2020",1,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020
"13206","02/01/2020",2,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.00273224044
"13205","03/01/2020",3,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.00546448087
"13204","04/01/2020",4,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.00819672131
"13203","05/01/2020",5,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.01092896175
"13202","06/01/2020",6,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.01366120219
"13201","07/01/2020",7,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.01639344262
"13200","08/01/2020",8,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.01912568306
"13199","09/01/2020",9,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.0218579235
"13198","10/01/2020",10,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.02459016393
"13197","11/01/2020",11,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.02732240437
"13196","12/01/2020",12,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.03005464481
"13195","13/01/2020",13,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.03278688525
"13194","14/01/2020",14,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.03551912568
"13193","15/01/2020",15,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.03825136612
"13192","16/01/2020",16,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.04098360656
"13191","17/01/2020",17,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.04371584699
"13190","18/01/2020",18,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.04644808743
"13189","19/01/2020",19,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.04918032787
"13188","20/01/2020",20,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.05191256831
"13187","21/01/2020",21,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.05464480874
"13186","22/01/2020",22,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.05737704918
"13185","23/01/2020",23,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.06010928962
"13184","24/01/2020",24,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.06284153005
"13183","25/01/2020",25,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.06557377049
"13182","26/01/2020",26,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.06830601093
"13181","27/01/2020",27,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.07103825137
"13180","28/01/2020",28,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.0737704918
"13179","29/01/2020",29,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.07650273224
"13178","30/01/2020",30,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.07923497268
"13177","31/01/2020",31,1,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.08196721311
"13176","01/02/2020",1,2,2020,1,0,"Spain","ES","ESP",46723749,"Europe",2020.08469945355
"13175","02/02/2020",2,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.08743169399
"13174","03/02/2020",3,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.09016393443
"13173","04/02/2020",4,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.09289617486
"13172","05/02/2020",5,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.0956284153
"13171","06/02/2020",6,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.09836065574
"13170","07/02/2020",7,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.10109289617
