"DateRep","Deaths","Cases","Countries.and.territories"
"10/07/2020",4,1127,"Spain_2nd"
"11/07/2020",4,883,"Spain_2nd"
"12/07/2020",3,852,"Spain_2nd"
"13/07/2020",1,1368,"Spain_2nd"
"14/07/2020",2,1503,"Spain_2nd"
"15/07/2020",5,1824,"Spain_2nd"
"16/07/2020",1,1697,"Spain_2nd"
"17/07/2020",2,2030,"Spain_2nd"
"18/07/2020",3,1791,"Spain_2nd"
"19/07/2020",5,1583,"Spain_2nd"
"20/07/2020",6,2325,"Spain_2nd"
"21/07/2020",7,2348,"Spain_2nd"
"22/07/2020",3,2388,"Spain_2nd"
"23/07/2020",2,2269,"Spain_2nd"
"24/07/2020",7,2514,"Spain_2nd"
"25/07/2020",9,2070,"Spain_2nd"
"26/07/2020",7,1883,"Spain_2nd"
"27/07/2020",8,3008,"Spain_2nd"
"28/07/2020",12,3135,"Spain_2nd"
"29/07/2020",7,3199,"Spain_2nd"
"30/07/2020",12,3126,"Spain_2nd"
"31/07/2020",14,3623,"Spain_2nd"
"01/08/2020",8,3598,"Spain_2nd"
"02/08/2020",13,2767,"Spain_2nd"
"03/08/2020",12,4099,"Spain_2nd"
"04/08/2020",16,4601,"Spain_2nd"
"05/08/2020",11,4577,"Spain_2nd"
"06/08/2020",25,4528,"Spain_2nd"
"07/08/2020",21,5261,"Spain_2nd"
"08/08/2020",30,4206,"Spain_2nd"
"09/08/2020",16,3998,"Spain_2nd"
"10/08/2020",24,5998,"Spain_2nd"
"11/08/2020",28,6340,"Spain_2nd"
"12/08/2020",26,6470,"Spain_2nd"
"13/08/2020",23,6236,"Spain_2nd"
"14/08/2020",34,7069,"Spain_2nd"
"15/08/2020",29,5562,"Spain_2nd"
"16/08/2020",21,4895,"Spain_2nd"
"17/08/2020",30,7048,"Spain_2nd"
"18/08/2020",38,8340,"Spain_2nd"
"19/08/2020",44,8414,"Spain_2nd"
"20/08/2020",37,8427,"Spain_2nd"
"21/08/2020",38,9639,"Spain_2nd"
"22/08/2020",41,6603,"Spain_2nd"
"23/08/2020",51,5830,"Spain_2nd"
"24/08/2020",57,8060,"Spain_2nd"
"25/08/2020",38,10123,"Spain_2nd"
"26/08/2020",48,9759,"Spain_2nd"
"27/08/2020",46,9458,"Spain_2nd"
"28/08/2020",65,10876,"Spain_2nd"
"29/08/2020",46,7216,"Spain_2nd"
"30/08/2020",53,6328,"Spain_2nd"
"31/08/2020",62,8298,"Spain_2nd"
"01/09/2020",67,11290,"Spain_2nd"
"02/09/2020",76,10394,"Spain_2nd"
"03/09/2020",70,10311,"Spain_2nd"
"04/09/2020",72,11455,"Spain_2nd"
"05/09/2020",63,8716,"Spain_2nd"
"06/09/2020",60,7395,"Spain_2nd"
"07/09/2020",79,9293,"Spain_2nd"
"08/09/2020",81,11225,"Spain_2nd"
"09/09/2020",88,11780,"Spain_2nd"
"10/09/2020",87,11613,"Spain_2nd"
"11/09/2020",90,12049,"Spain_2nd"
"12/09/2020",99,9238,"Spain_2nd"
"13/09/2020",101,7970,"Spain_2nd"
"14/09/2020",97,10469,"Spain_2nd"
"15/09/2020",124,12241,"Spain_2nd"
"16/09/2020",105,12102,"Spain_2nd"
"17/09/2020",115,11664,"Spain_2nd"
"18/09/2020",107,14361,"Spain_2nd"
"19/09/2020",115,8446,"Spain_2nd"
"20/09/2020",92,7172,"Spain_2nd"
"21/09/2020",123,9967,"Spain_2nd"
"22/09/2020",121,12305,"Spain_2nd"
"23/09/2020",111,11680,"Spain_2nd"
"24/09/2020",122,11036,"Spain_2nd"
"25/09/2020",123,11698,"Spain_2nd"
"26/09/2020",105,7690,"Spain_2nd"
"27/09/2020",113,6316,"Spain_2nd"
"28/09/2020",140,9053,"Spain_2nd"
"29/09/2020",135,10622,"Spain_2nd"
"30/09/2020",146,10015,"Spain_2nd"
"01/10/2020",125,10508,"Spain_2nd"
"02/10/2020",134,10820,"Spain_2nd"
"03/10/2020",99,7948,"Spain_2nd"
"04/10/2020",83,7333,"Spain_2nd"
"05/10/2020",132,11143,"Spain_2nd"
"06/10/2020",127,12451,"Spain_2nd"
"07/10/2020",130,12191,"Spain_2nd"
"08/10/2020",125,12376,"Spain_2nd"
"09/10/2020",141,13277,"Spain_2nd"
"10/10/2020",118,10649,"Spain_2nd"
"11/10/2020",104,8820,"Spain_2nd"
"12/10/2020",116,10620,"Spain_2nd"
"13/10/2020",133,13998,"Spain_2nd"
"14/10/2020",128,15897,"Spain_2nd"
"15/10/2020",131,16021,"Spain_2nd"
"16/10/2020",132,17009,"Spain_2nd"
"17/10/2020",115,13933,"Spain_2nd"
"18/10/2020",129,12516,"Spain_2nd"
"19/10/2020",157,19853,"Spain_2nd"
"20/10/2020",175,21885,"Spain_2nd"
"21/10/2020",158,21550,"Spain_2nd"
"22/10/2020",191,20710,"Spain_2nd"
"23/10/2020",197,21699,"Spain_2nd"
"24/10/2020",172,16783,"Spain_2nd"
"25/10/2020",174,14857,"Spain_2nd"
"26/10/2020",192,21618,"Spain_2nd"
"27/10/2020",226,22610,"Spain_2nd"
"28/10/2020",213,21632,"Spain_2nd"
"29/10/2020",211,20130,"Spain_2nd"
"30/10/2020",200,21043,"Spain_2nd"
"31/10/2020",204,16380,"Spain_2nd"
"01/11/2020",219,15212,"Spain_2nd"
"02/11/2020",235,18385,"Spain_2nd"
"03/11/2020",272,20857,"Spain_2nd"
"04/11/2020",287,20053,"Spain_2nd"
"05/11/2020",270,19278,"Spain_2nd"
"06/11/2020",299,19059,"Spain_2nd"
"07/11/2020",223,15127,"Spain_2nd"
"08/11/2020",243,12115,"Spain_2nd"
"09/11/2020",248,17050,"Spain_2nd"
"10/11/2020",266,17681,"Spain_2nd"
"11/11/2020",292,16100,"Spain_2nd"
"12/11/2020",274,14475,"Spain_2nd"
"13/11/2020",264,14510,"Spain_2nd"
"14/11/2020",232,11633,"Spain_2nd"
"15/11/2020",218,9273,"Spain_2nd"
"16/11/2020",243,12976,"Spain_2nd"
"17/11/2020",309,13146,"Spain_2nd"
"18/11/2020",241,11708,"Spain_2nd"
"19/11/2020",255,9815,"Spain_2nd"
"20/11/2020",248,10057,"Spain_2nd"
"21/11/2020",199,7796,"Spain_2nd"
"22/11/2020",186,6144,"Spain_2nd"
"23/11/2020",225,8605,"Spain_2nd"
"24/11/2020",197,8642,"Spain_2nd"
"25/11/2020",214,7642,"Spain_2nd"
"26/11/2020",230,6827,"Spain_2nd"
"27/11/2020",179,7285,"Spain_2nd"
"28/11/2020",154,5296,"Spain_2nd"
"29/11/2020",151,3589,"Spain_2nd"
"30/11/2020",138,4274,"Spain_2nd"
"01/12/2020",112,4822,"Spain_2nd"
"02/12/2020",49,2720,"Spain_2nd"
