"DateRep","Deaths","Cases","Countries.and.territories"
"01/01/2020",0,3,"Spain_DC"
"02/01/2020",0,2,"Spain_DC"
"03/01/2020",0,0,"Spain_DC"
"04/01/2020",0,0,"Spain_DC"
"05/01/2020",0,0,"Spain_DC"
"06/01/2020",0,0,"Spain_DC"
"07/01/2020",0,0,"Spain_DC"
"08/01/2020",0,1,"Spain_DC"
"09/01/2020",0,0,"Spain_DC"
"10/01/2020",0,1,"Spain_DC"
"11/01/2020",0,1,"Spain_DC"
"12/01/2020",0,2,"Spain_DC"
"13/01/2020",0,3,"Spain_DC"
"14/01/2020",0,0,"Spain_DC"
"15/01/2020",0,1,"Spain_DC"
"16/01/2020",0,1,"Spain_DC"
"17/01/2020",0,2,"Spain_DC"
"18/01/2020",0,2,"Spain_DC"
"19/01/2020",0,0,"Spain_DC"
"20/01/2020",0,5,"Spain_DC"
"21/01/2020",0,0,"Spain_DC"
"22/01/2020",0,0,"Spain_DC"
"23/01/2020",0,3,"Spain_DC"
"24/01/2020",0,1,"Spain_DC"
"25/01/2020",0,1,"Spain_DC"
"26/01/2020",0,1,"Spain_DC"
"27/01/2020",0,3,"Spain_DC"
"28/01/2020",0,1,"Spain_DC"
"29/01/2020",0,5,"Spain_DC"
"30/01/2020",0,2,"Spain_DC"
"31/01/2020",0,4,"Spain_DC"
"01/02/2020",0,20,"Spain_DC"
"02/02/2020",0,13,"Spain_DC"
"03/02/2020",0,14,"Spain_DC"
"04/02/2020",0,10,"Spain_DC"
"05/02/2020",0,7,"Spain_DC"
"06/02/2020",0,11,"Spain_DC"
"07/02/2020",0,15,"Spain_DC"
"08/02/2020",0,9,"Spain_DC"
"09/02/2020",0,3,"Spain_DC"
"10/02/2020",0,22,"Spain_DC"
"11/02/2020",0,15,"Spain_DC"
"12/02/2020",0,24,"Spain_DC"
"13/02/2020",1,25,"Spain_DC"
"14/02/2020",0,19,"Spain_DC"
"15/02/2020",0,34,"Spain_DC"
"16/02/2020",0,25,"Spain_DC"
"17/02/2020",0,28,"Spain_DC"
"18/02/2020",0,27,"Spain_DC"
"19/02/2020",0,19,"Spain_DC"
"20/02/2020",0,56,"Spain_DC"
"21/02/2020",0,61,"Spain_DC"
"22/02/2020",0,59,"Spain_DC"
"23/02/2020",0,75,"Spain_DC"
"24/02/2020",0,110,"Spain_DC"
"25/02/2020",0,132,"Spain_DC"
"26/02/2020",0,152,"Spain_DC"
"27/02/2020",0,184,"Spain_DC"
"28/02/2020",0,322,"Spain_DC"
"29/02/2020",0,244,"Spain_DC"
"01/03/2020",0,689,"Spain_DC"
"02/03/2020",0,803,"Spain_DC"
"03/03/2020",1,795,"Spain_DC"
"04/03/2020",2,951,"Spain_DC"
"05/03/2020",1,1280,"Spain_DC"
"06/03/2020",3,1621,"Spain_DC"
"07/03/2020",3,1857,"Spain_DC"
"08/03/2020",14,2190,"Spain_DC"
"09/03/2020",16,3402,"Spain_DC"
"10/03/2020",26,4665,"Spain_DC"
"11/03/2020",35,4735,"Spain_DC"
"12/03/2020",56,5939,"Spain_DC"
"13/03/2020",79,7816,"Spain_DC"
"14/03/2020",104,7450,"Spain_DC"
"15/03/2020",129,7935,"Spain_DC"
"16/03/2020",178,9470,"Spain_DC"
"17/03/2020",186,8832,"Spain_DC"
"18/03/2020",238,8957,"Spain_DC"
"19/03/2020",314,8654,"Spain_DC"
"20/03/2020",429,10654,"Spain_DC"
"21/03/2020",501,7424,"Spain_DC"
"22/03/2020",543,6770,"Spain_DC"
"23/03/2020",679,8268,"Spain_DC"
"24/03/2020",717,7113,"Spain_DC"
"25/03/2020",813,6942,"Spain_DC"
"26/03/2020",862,6348,"Spain_DC"
"27/03/2020",906,6057,"Spain_DC"
"28/03/2020",838,5358,"Spain_DC"
"29/03/2020",809,4242,"Spain_DC"
"30/03/2020",909,5139,"Spain_DC"
"31/03/2020",895,4410,"Spain_DC"
"01/04/2020",891,5479,"Spain_DC"
"02/04/2020",848,4450,"Spain_DC"
"03/04/2020",782,4456,"Spain_DC"
"04/04/2020",737,3664,"Spain_DC"
"05/04/2020",748,3209,"Spain_DC"
"06/04/2020",757,3524,"Spain_DC"
"07/04/2020",735,3193,"Spain_DC"
"08/04/2020",743,3471,"Spain_DC"
"09/04/2020",666,3278,"Spain_DC"
"10/04/2020",672,3170,"Spain_DC"
"11/04/2020",626,2874,"Spain_DC"
"12/04/2020",544,2261,"Spain_DC"
"13/04/2020",587,2189,"Spain_DC"
"14/04/2020",605,2253,"Spain_DC"
"15/04/2020",552,2376,"Spain_DC"
"16/04/2020",486,2290,"Spain_DC"
"17/04/2020",503,1910,"Spain_DC"
"18/04/2020",435,1670,"Spain_DC"
"19/04/2020",400,1145,"Spain_DC"
"20/04/2020",385,1482,"Spain_DC"
"21/04/2020",427,1326,"Spain_DC"
"22/04/2020",341,1471,"Spain_DC"
"23/04/2020",331,1184,"Spain_DC"
"24/04/2020",330,1120,"Spain_DC"
"25/04/2020",295,756,"Spain_DC"
"26/04/2020",271,560,"Spain_DC"
"27/04/2020",258,703,"Spain_DC"
"28/04/2020",259,854,"Spain_DC"
"29/04/2020",235,752,"Spain_DC"
"30/04/2020",223,746,"Spain_DC"
"01/05/2020",176,738,"Spain_DC"
"02/05/2020",201,662,"Spain_DC"
"03/05/2020",196,446,"Spain_DC"
"04/05/2020",186,508,"Spain_DC"
"05/05/2020",182,311,"Spain_DC"
"06/05/2020",152,296,"Spain_DC"
"07/05/2020",165,314,"Spain_DC"
"08/05/2020",145,297,"Spain_DC"
"09/05/2020",125,233,"Spain_DC"
"10/05/2020",110,262,"Spain_DC"
"11/05/2020",122,541,"Spain_DC"
"12/05/2020",113,501,"Spain_DC"
"13/05/2020",87,542,"Spain_DC"
"14/05/2020",86,510,"Spain_DC"
"15/05/2020",77,541,"Spain_DC"
"16/05/2020",63,310,"Spain_DC"
"17/05/2020",61,272,"Spain_DC"
"18/05/2020",72,523,"Spain_DC"
"19/05/2020",67,547,"Spain_DC"
"20/05/2020",56,443,"Spain_DC"
"21/05/2020",69,486,"Spain_DC"
"22/05/2020",71,535,"Spain_DC"
"23/05/2020",58,302,"Spain_DC"
"24/05/2020",55,268,"Spain_DC"
"25/05/2020",66,530,"Spain_DC"
"26/05/2020",56,538,"Spain_DC"
"27/05/2020",45,401,"Spain_DC"
"28/05/2020",40,499,"Spain_DC"
"29/05/2020",43,472,"Spain_DC"
"30/05/2020",43,281,"Spain_DC"
"31/05/2020",39,213,"Spain_DC"
"01/06/2020",34,394,"Spain_DC"
"02/06/2020",47,373,"Spain_DC"
"03/06/2020",38,419,"Spain_DC"
"04/06/2020",45,369,"Spain_DC"
"05/06/2020",23,445,"Spain_DC"
"06/06/2020",30,228,"Spain_DC"
"07/06/2020",20,188,"Spain_DC"
"08/06/2020",29,379,"Spain_DC"
"09/06/2020",13,320,"Spain_DC"
"10/06/2020",29,328,"Spain_DC"
"11/06/2020",24,296,"Spain_DC"
"12/06/2020",19,336,"Spain_DC"
"13/06/2020",21,130,"Spain_DC"
"14/06/2020",18,148,"Spain_DC"
"15/06/2020",20,313,"Spain_DC"
"16/06/2020",12,278,"Spain_DC"
"17/06/2020",23,292,"Spain_DC"
"18/06/2020",11,297,"Spain_DC"
