"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"14644","31/12/2019",31,12,2019,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2019.99726027397
"14643","01/01/2020",1,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020
"14642","02/01/2020",2,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.00273224044
"14641","03/01/2020",3,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.00546448087
"14640","04/01/2020",4,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.00819672131
"14639","05/01/2020",5,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.01092896175
"14638","06/01/2020",6,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.01366120219
"14637","07/01/2020",7,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.01639344262
"14636","08/01/2020",8,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.01912568306
"14635","09/01/2020",9,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.0218579235
"14634","10/01/2020",10,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.02459016393
"14633","11/01/2020",11,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.02732240437
"14632","12/01/2020",12,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.03005464481
"14631","13/01/2020",13,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.03278688525
"14630","14/01/2020",14,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.03551912568
"14629","15/01/2020",15,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.03825136612
"14628","16/01/2020",16,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.04098360656
"14627","17/01/2020",17,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.04371584699
"14626","18/01/2020",18,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.04644808743
"14625","19/01/2020",19,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.04918032787
"14624","20/01/2020",20,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.05191256831
"14623","21/01/2020",21,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.05464480874
"14622","22/01/2020",22,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.05737704918
"14621","23/01/2020",23,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.06010928962
"14620","24/01/2020",24,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.06284153005
"14619","25/01/2020",25,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.06557377049
"14618","26/01/2020",26,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.06830601093
"14617","27/01/2020",27,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.07103825137
"14616","28/01/2020",28,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.0737704918
"14615","29/01/2020",29,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.07650273224
"14614","30/01/2020",30,1,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.07923497268
"14613","31/01/2020",31,1,2020,2,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.08196721311
"14612","01/02/2020",1,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.08469945355
"14611","02/02/2020",2,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.08743169399
"14610","03/02/2020",3,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.09016393443
"14609","04/02/2020",4,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.09289617486
"14608","05/02/2020",5,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.0956284153
"14607","06/02/2020",6,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.09836065574
"14606","07/02/2020",7,2,2020,1,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.10109289617
"14605","08/02/2020",8,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.10382513661
"14604","09/02/2020",9,2,2020,1,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.10655737705
"14603","10/02/2020",10,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.10928961749
"14602","11/02/2020",11,2,2020,4,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.11202185792
"14601","12/02/2020",12,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.11475409836
"14600","13/02/2020",13,2,2020,1,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.1174863388
"14599","14/02/2020",14,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.12021857923
"14598","15/02/2020",15,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.12295081967
"14597","16/02/2020",16,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.12568306011
"14596","17/02/2020",17,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.12841530055
"14595","18/02/2020",18,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.13114754098
"14594","19/02/2020",19,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.13387978142
"14593","20/02/2020",20,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.13661202186
"14592","21/02/2020",21,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.1393442623
"14591","22/02/2020",22,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.14207650273
"14590","23/02/2020",23,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.14480874317
"14589","24/02/2020",24,2,2020,4,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.14754098361
"14588","25/02/2020",25,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.15027322404
"14587","26/02/2020",26,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.15300546448
"14586","27/02/2020",27,2,2020,0,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.15573770492
"14585","28/02/2020",28,2,2020,3,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.15846994536
"14584","29/02/2020",29,2,2020,2,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.16120218579
"14583","01/03/2020",1,3,2020,5,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.16393442623
"14582","02/03/2020",2,3,2020,13,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.16666666667
"14581","03/03/2020",3,3,2020,4,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.1693989071
"14580","04/03/2020",4,3,2020,11,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.17213114754
"14579","05/03/2020",5,3,2020,34,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.17486338798
"14578","06/03/2020",6,3,2020,30,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.17759562842
"14577","07/03/2020",7,3,2020,48,1,"United_Kingdom","UK","GBR",66488991,"Europe",2020.18032786885
"14576","08/03/2020",8,3,2020,43,1,"United_Kingdom","UK","GBR",66488991,"Europe",2020.18306010929
"14575","09/03/2020",9,3,2020,67,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.18579234973
"14574","10/03/2020",10,3,2020,48,1,"United_Kingdom","UK","GBR",66488991,"Europe",2020.18852459016
"14573","11/03/2020",11,3,2020,52,4,"United_Kingdom","UK","GBR",66488991,"Europe",2020.1912568306
"14572","12/03/2020",12,3,2020,83,0,"United_Kingdom","UK","GBR",66488991,"Europe",2020.19398907104
"14571","13/03/2020",13,3,2020,134,2,"United_Kingdom","UK","GBR",66488991,"Europe",2020.19672131148
"14570","14/03/2020",14,3,2020,117,1,"United_Kingdom","UK","GBR",66488991,"Europe",2020.19945355191
"14569","15/03/2020",15,3,2020,433,18,"United_Kingdom","UK","GBR",66488991,"Europe",2020.20218579235
"14568","16/03/2020",16,3,2020,251,15,"United_Kingdom","UK","GBR",66488991,"Europe",2020.20491803279
"14567","17/03/2020",17,3,2020,152,22,"United_Kingdom","UK","GBR",66488991,"Europe",2020.20765027322
"14566","18/03/2020",18,3,2020,407,16,"United_Kingdom","UK","GBR",66488991,"Europe",2020.21038251366
"14565","19/03/2020",19,3,2020,680,34,"United_Kingdom","UK","GBR",66488991,"Europe",2020.2131147541
"14564","20/03/2020",20,3,2020,647,43,"United_Kingdom","UK","GBR",66488991,"Europe",2020.21584699454
"14563","21/03/2020",21,3,2020,706,36,"United_Kingdom","UK","GBR",66488991,"Europe",2020.21857923497
"14562","22/03/2020",22,3,2020,1035,56,"United_Kingdom","UK","GBR",66488991,"Europe",2020.22131147541
"14561","23/03/2020",23,3,2020,665,35,"United_Kingdom","UK","GBR",66488991,"Europe",2020.22404371585
"14560","24/03/2020",24,3,2020,967,74,"United_Kingdom","UK","GBR",66488991,"Europe",2020.22677595628
"14559","25/03/2020",25,3,2020,1427,149,"United_Kingdom","UK","GBR",66488991,"Europe",2020.22950819672
"14558","26/03/2020",26,3,2020,1452,186,"United_Kingdom","UK","GBR",66488991,"Europe",2020.23224043716
"14557","27/03/2020",27,3,2020,2129,183,"United_Kingdom","UK","GBR",66488991,"Europe",2020.2349726776
"14556","28/03/2020",28,3,2020,2885,284,"United_Kingdom","UK","GBR",66488991,"Europe",2020.23770491803
"14555","29/03/2020",29,3,2020,2546,294,"United_Kingdom","UK","GBR",66488991,"Europe",2020.24043715847
"14554","30/03/2020",30,3,2020,2433,214,"United_Kingdom","UK","GBR",66488991,"Europe",2020.24316939891
"14553","31/03/2020",31,3,2020,2619,374,"United_Kingdom","UK","GBR",66488991,"Europe",2020.24590163934
"14552","01/04/2020",1,4,2020,3009,382,"United_Kingdom","UK","GBR",66488991,"Europe",2020.24863387978
"14551","02/04/2020",2,4,2020,4324,670,"United_Kingdom","UK","GBR",66488991,"Europe",2020.25136612022
"14550","03/04/2020",3,4,2020,4244,652,"United_Kingdom","UK","GBR",66488991,"Europe",2020.25409836066
"14549","04/04/2020",4,4,2020,4450,714,"United_Kingdom","UK","GBR",66488991,"Europe",2020.25683060109
"14548","05/04/2020",5,4,2020,3735,760,"United_Kingdom","UK","GBR",66488991,"Europe",2020.25956284153
"14547","06/04/2020",6,4,2020,5903,644,"United_Kingdom","UK","GBR",66488991,"Europe",2020.26229508197
"14546","07/04/2020",7,4,2020,3802,568,"United_Kingdom","UK","GBR",66488991,"Europe",2020.2650273224
"14545","08/04/2020",8,4,2020,3634,1038,"United_Kingdom","UK","GBR",66488991,"Europe",2020.26775956284
"14544","09/04/2020",9,4,2020,5491,1034,"United_Kingdom","UK","GBR",66488991,"Europe",2020.27049180328
"14543","10/04/2020",10,4,2020,4344,1103,"United_Kingdom","UK","GBR",66488991,"Europe",2020.27322404372
"14542","11/04/2020",11,4,2020,5195,1152,"United_Kingdom","UK","GBR",66488991,"Europe",2020.27595628415
"14541","12/04/2020",12,4,2020,8719,839,"United_Kingdom","UK","GBR",66488991,"Europe",2020.27868852459
"14540","13/04/2020",13,4,2020,5288,686,"United_Kingdom","UK","GBR",66488991,"Europe",2020.28142076503
"14539","14/04/2020",14,4,2020,4342,744,"United_Kingdom","UK","GBR",66488991,"Europe",2020.28415300546
"14538","15/04/2020",15,4,2020,5252,1044,"United_Kingdom","UK","GBR",66488991,"Europe",2020.2868852459
"14537","16/04/2020",16,4,2020,4603,842,"United_Kingdom","UK","GBR",66488991,"Europe",2020.28961748634
"14536","17/04/2020",17,4,2020,4617,1029,"United_Kingdom","UK","GBR",66488991,"Europe",2020.29234972678
"14535","18/04/2020",18,4,2020,5599,935,"United_Kingdom","UK","GBR",66488991,"Europe",2020.29508196721
"14534","19/04/2020",19,4,2020,5525,1115,"United_Kingdom","UK","GBR",66488991,"Europe",2020.29781420765
"14533","20/04/2020",20,4,2020,5850,498,"United_Kingdom","UK","GBR",66488991,"Europe",2020.30054644809
"14532","21/04/2020",21,4,2020,4676,559,"United_Kingdom","UK","GBR",66488991,"Europe",2020.30327868852
"14531","22/04/2020",22,4,2020,4301,1172,"United_Kingdom","UK","GBR",66488991,"Europe",2020.30601092896
"14530","23/04/2020",23,4,2020,4451,837,"United_Kingdom","UK","GBR",66488991,"Europe",2020.3087431694
