"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"118","31/12/2019",31,12,2019,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2019.99726027397
"117","01/01/2020",1,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020
"116","02/01/2020",2,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.00273224044
"115","03/01/2020",3,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.00546448087
"114","04/01/2020",4,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.00819672131
"113","05/01/2020",5,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.01092896175
"112","06/01/2020",6,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.01366120219
"111","07/01/2020",7,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.01639344262
"110","08/01/2020",8,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.01912568306
"109","09/01/2020",9,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.0218579235
"108","10/01/2020",10,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.02459016393
"107","11/01/2020",11,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.02732240437
"106","12/01/2020",12,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.03005464481
"105","13/01/2020",13,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.03278688525
"104","14/01/2020",14,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.03551912568
"103","15/01/2020",15,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.03825136612
"102","16/01/2020",16,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.04098360656
"101","17/01/2020",17,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.04371584699
"100","18/01/2020",18,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.04644808743
"99","19/01/2020",19,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.04918032787
"98","20/01/2020",20,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.05191256831
"97","21/01/2020",21,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.05464480874
"96","22/01/2020",22,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.05737704918
"95","23/01/2020",23,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.06010928962
"94","24/01/2020",24,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.06284153005
"93","25/01/2020",25,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.06557377049
"92","26/01/2020",26,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.06830601093
"91","27/01/2020",27,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.07103825137
"90","28/01/2020",28,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.0737704918
"89","29/01/2020",29,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.07650273224
"88","30/01/2020",30,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.07923497268
"87","31/01/2020",31,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.08196721311
"86","01/02/2020",1,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.08469945355
"85","02/02/2020",2,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.08743169399
"84","03/02/2020",3,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.09016393443
"83","04/02/2020",4,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.09289617486
"82","05/02/2020",5,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.0956284153
"81","06/02/2020",6,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.09836065574
"80","07/02/2020",7,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.10109289617
"79","08/02/2020",8,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.10382513661
"78","09/02/2020",9,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.10655737705
"77","10/02/2020",10,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.10928961749
"76","11/02/2020",11,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.11202185792
"75","12/02/2020",12,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.11475409836
"74","13/02/2020",13,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.1174863388
"73","14/02/2020",14,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.12021857923
"72","15/02/2020",15,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.12295081967
"71","16/02/2020",16,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.12568306011
"70","17/02/2020",17,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.12841530055
"69","18/02/2020",18,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.13114754098
"68","19/02/2020",19,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.13387978142
"67","20/02/2020",20,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.13661202186
"66","21/02/2020",21,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.1393442623
"65","22/02/2020",22,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.14207650273
"64","23/02/2020",23,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.14480874317
"63","24/02/2020",24,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.14754098361
"62","25/02/2020",25,2,2020,1,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.15027322404
"61","26/02/2020",26,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.15300546448
"60","27/02/2020",27,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.15573770492
"59","28/02/2020",28,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.15846994536
"58","29/02/2020",29,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.16120218579
"57","01/03/2020",1,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.16393442623
"56","02/03/2020",2,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.16666666667
"55","08/03/2020",8,3,2020,3,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.18306010929
"54","11/03/2020",11,3,2020,3,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.1912568306
"53","15/03/2020",15,3,2020,3,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.20218579235
"52","16/03/2020",16,3,2020,6,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.20491803279
"51","17/03/2020",17,3,2020,5,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.20765027322
"50","18/03/2020",18,3,2020,1,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.21038251366
"49","19/03/2020",19,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.2131147541
"48","20/03/2020",20,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.21584699454
"47","21/03/2020",21,3,2020,2,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.21857923497
"46","22/03/2020",22,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.22131147541
"45","23/03/2020",23,3,2020,10,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.22404371585
"44","24/03/2020",24,3,2020,6,1,"Afghanistan","AF","AFG",37172386,"Asia",2020.22677595628
"43","25/03/2020",25,3,2020,2,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.22950819672
"42","26/03/2020",26,3,2020,33,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.23224043716
"41","27/03/2020",27,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.2349726776
"40","28/03/2020",28,3,2020,16,1,"Afghanistan","AF","AFG",37172386,"Asia",2020.23770491803
"39","29/03/2020",29,3,2020,15,1,"Afghanistan","AF","AFG",37172386,"Asia",2020.24043715847
"38","30/03/2020",30,3,2020,8,1,"Afghanistan","AF","AFG",37172386,"Asia",2020.24316939891
"37","31/03/2020",31,3,2020,27,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.24590163934
"36","01/04/2020",1,4,2020,25,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.24863387978
"35","02/04/2020",2,4,2020,26,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.25136612022
"34","03/04/2020",3,4,2020,43,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.25409836066
"33","04/04/2020",4,4,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia",2020.25683060109
