"Country","other_interv1","other_interv1_off","major_intervention","major_intervention_off","other_interv2","other_interv2_off","interv_dummy"
"Germany_2nd",2020-07-03,2020-10-01,2020-10-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-03,2020-10-03,2020-10-03,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-03,2020-10-05,2020-10-05,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-03,2020-10-07,2020-10-07,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-03,2020-10-09,2020-10-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-03,2020-10-11,2020-10-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-03,2020-10-13,2020-10-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-03,2020-10-15,2020-10-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-01,2020-10-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-03,2020-10-03,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-05,2020-10-05,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-07,2020-10-07,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-09,2020-10-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-11,2020-10-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-13,2020-10-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-05,2020-10-15,2020-10-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Germany_2nd",2020-07-07,2020-10-01,2020-10-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
