"Country","other_interv1","other_interv1_off","major_intervention","major_intervention_off","other_interv2","other_interv2_off","interv_dummy"
"Spain_1st",2020-01-01,2020-01-16,2020-01-16,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-01-31,2020-01-31,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-02-15,2020-02-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-03-01,2020-03-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-03-16,2020-03-16,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-03-31,2020-03-31,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-04-15,2020-04-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-04-30,2020-04-30,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-05-15,2020-05-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-05-30,2020-05-30,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-06-14,2020-06-14,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-01,2020-06-29,2020-06-29,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-01-31,2020-01-31,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-02-15,2020-02-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-03-01,2020-03-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-03-16,2020-03-16,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-03-31,2020-03-31,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-04-15,2020-04-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-04-30,2020-04-30,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-05-15,2020-05-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-05-30,2020-05-30,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-01-16,2020-06-14,2020-06-14,2021-01-06,2021-01-06,2021-01-06,2021-01-06
