"Country","other_interv1","other_interv1_off","major_intervention","major_intervention_off","other_interv2","other_interv2_off","interv_dummy"
"Spain_1st",2020-02-21,2020-03-09,2020-03-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-21,2020-03-11,2020-03-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-21,2020-03-13,2020-03-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-21,2020-03-15,2020-03-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-21,2020-03-17,2020-03-17,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-21,2020-03-19,2020-03-19,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-21,2020-03-21,2020-03-21,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-21,2020-03-23,2020-03-23,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-09,2020-03-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-11,2020-03-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-13,2020-03-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-15,2020-03-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-17,2020-03-17,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-19,2020-03-19,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-21,2020-03-21,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-23,2020-03-23,2020-03-23,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-09,2020-03-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-11,2020-03-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-13,2020-03-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-15,2020-03-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-17,2020-03-17,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-19,2020-03-19,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-21,2020-03-21,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-25,2020-03-23,2020-03-23,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-09,2020-03-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-11,2020-03-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-13,2020-03-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-15,2020-03-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-17,2020-03-17,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-19,2020-03-19,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-21,2020-03-21,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-27,2020-03-23,2020-03-23,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-29,2020-03-09,2020-03-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-29,2020-03-11,2020-03-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_1st",2020-02-29,2020-03-13,2020-03-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
