"Country","other_interv1","other_interv1_off","major_intervention","major_intervention_off","other_interv2","other_interv2_off","interv_dummy"
"Spain_2nd",2020-08-17,2020-11-01,2020-11-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-17,2020-11-03,2020-11-03,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-17,2020-11-05,2020-11-05,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-17,2020-11-07,2020-11-07,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-17,2020-11-09,2020-11-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-17,2020-11-11,2020-11-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-17,2020-11-13,2020-11-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-17,2020-11-15,2020-11-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-01,2020-11-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-03,2020-11-03,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-05,2020-11-05,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-07,2020-11-07,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-09,2020-11-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-11,2020-11-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-13,2020-11-13,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-19,2020-11-15,2020-11-15,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-21,2020-11-01,2020-11-01,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-21,2020-11-03,2020-11-03,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-21,2020-11-05,2020-11-05,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-21,2020-11-07,2020-11-07,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-21,2020-11-09,2020-11-09,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"Spain_2nd",2020-08-21,2020-11-11,2020-11-11,2021-01-06,2021-01-06,2021-01-06,2021-01-06
